"Created At",""สร้างเมื่อ""
"About Story","เกี่ยวกับเรื่องราว"
"Accept","ยอมรับ"
"Additional Connections","การเชื่อมต่อเพิ่มเติม:&#10;&#10;&lt;ul&gt;&#10;"
"Additional Menu","เมนูเพิ่มเติม"
"Address","ที่อยู่"
"Aggregation","การเกิดเม็ดดิน"
"Allow on Submit","อนุญาตเมื่อส่ง"
"Anchor Config (JSON)","การกำหนดค่า Anchor (JSON)"
"Attachment","ไฟล์แนบ"
"Attempts","ความพยายาม:"
"Auto Confirm Email","ยืนยันอีเมล์"
"Auto Generated","(สร้างอัตโนมัติ)"
"Available in DB Only","มีให้บริการใน DB เท่านั้น"
"Background Color","สีพื้นหลัง"
"Background Job Log","บันทึกงานเบื้องหลัง"
"Background Path","เส้นทางพื้นหลัง"
"Badge Variant","แบบของป้าย"
"Basic","พื้นฐาน"
"Bio","ประวัติส่วนตัว"
"Border","เส้นขอบ"
"CSS (Editor)","CSS (Editor)"
"CSS Content","เนื้อหา CSS"
"Can Cancel","สามารถยกเลิก"
"Can Create","สามารถสร้าง"
"Can Delete","สามารถลบ"
"Can Get","สามารถรับ"
"Can Own Cancel","สามารถยกเลิกของตัวเอง"
"Can Own Create","สามารถสร้างของตัวเอง"
"Can Own Delete","สามารถลบของตัวเอง"
"Can Own Get","สามารถรับของตัวเอง"
"Can Own Select","สามารถเลือกของตัวเอง"
"Can Own Submit","สามารถเสนอของตัวเอง"
"Can Own Update","สามารถอัปเดตของตัวเอง"
"Can Select","สามารถเลือก"
"Can Submit","สามารถเสนอ"
"Can Update","สามารถอัปเดต"
"Child Doctype","แพทย์ประจำตัวเด็ก"
"Child Field Name","ชื่อฟิลด์ย่อย"
"Code","รหัส"
"Color","สี"
"Columns (JSON)","คอลัมน์ (JSON)"
"Comments Enabled","เปิดใช้งานความคิดเห็นแล้ว"
"Completed At","เสร็จสิ้นเมื่อ"
"Confirmation Code","รหัสยืนยัน"
"Core Value 1","ค่านิยมหลัก 1"
"Core Value 2","ค่านิยมหลัก 2"
"Core Value 3","ค่านิยมหลัก 3"
"Currency","สกุลเงิน"
"Custom CSS","CSS ที่กำหนดเอง"
"Custom Height (mm)","ความสูงที่กำหนดเอง (มม.)"
"Custom Width (mm)","ความกว้างที่กำหนดเอง (มม.)"
"Default Filters","ตัวกรองเริ่มต้น"
"Default From Address","ที่อยู่ผู้ส่งเริ่มต้น"
"Default Language","ภาษาเริ่มต้น"
"Default Letter Head","หัวจดหมายเริ่มต้น"
"Default Outgoing Email","อีเมลขาออกเริ่มต้น"
"Default Value","ค่าตั้งต้น"
"Display Field","ฟิลด์ที่แสดง"
"Doc Status Watermark","ลายน้ำสถานะเอกสาร"
"Doc name expression","Doc name expression"
"Doctype Calendar","ปฏิทินเอกสาร"
"Doctype Children","ฟิลด์ย่อยของประเภทเอกสาร"
"Doctype Field","ฟิลด์ประเภทเอกสาร"
"Doctype Relative","การเกี่ยวข้องของประเภทเอกสาร"
"Document","เอกสาร"
"Email Confirmed","อีเมลได้รับการยืนยันแล้ว"
"Enable Registration","เปิดใช้งานการลงทะเบียน"
"Error","ข้อผิดพลาด"
"Expires At","หมดอายุใน"
"Facebook URL","ลิงค์ Facebook"
"Favicon","ไอคอนเว็บไซต์"
"Field","ช่องว่าง"
"Field Name","ชื่อฟิลด์"
"Fields (JSON)","ฟิลด์ (JSON)"
"File","ไฟล์"
"Filters","ตัวกรอง"
"Fixed Position Layout","เค้าโครงตำแหน่งคงที่"
"Font Size","ขนาดชุดแบบอักษร"
"Font Style","ลักษณะตัวอักษร"
"Font Weight","น้ำหนักตัวอักษร:"
"Founding Year","ปีที่ก่อตั้ง"
"General","ทั่วไป"
"Global Setting","การตั้งค่าส่วนกลาง"
"Group","กลุ่ม"
"HTML","เอชทีเอ็มแอล"
"HTML Content","เนื้อหา HTML"
"HTML Footer Content","เนื้อหาส่วนท้าย HTML"
"Heading Level","ระดับหัวเรื่อง"
"Height","ความสูง"
"Hidden from UI","ซ่อนจาก UI"
"Hide When Empty","ซ่อนเมื่อว่างเปล่า"
"Homepage","หน้าแรก"
"Href","ลิงก์ปลายทาง"
"IP Address","ที่อยู่ IP"
"Icon","ไอคอน"
"Image","รูปภาพ"
"In Quick Entry","ในการเข้าอย่างรวดเร็ว"
"Index","ดัชนี"
"Industry","อุตสาหกรรม"
"Instagram URL","URL ของ Instagram"
"Is Child Doctype","เป็นแพทย์ประจำตัวเด็ก"
"Is Default","เป็นค่าเริ่มต้น"
"Is HTML","เป็น HTML"
"Is Quick Entry","เป็นรายการด่วน"
"Is Quick Filter","ฟิลเตอร์ด่วน"
"Is Script","เป็นสคริปต์"
"Is Setup","คือการตั้งค่า"
"Is Single","เป็นโสด"
"Is Submittable","สามารถส่งได้"
"Is System","เป็นระบบ"
"Is System Generated","สร้างระบบแล้ว"
"JS Content","เนื้อหา JS"
"JSON Model","โมเดล JSON"
"Job ID","รหัสงาน"
"Label","เครื่องหมาย"
"Label Position","ตำแหน่งฉลาก"
"Length","ความยาว"
"Letter Head","หัวจดหมาย"
"LinkedIn URL","ลิงค์ LinkedIn"
"Logo","โลโก้"
"Margin","ระยะขอบ"
"Margin Bottom (mm)","Margin Bottom (มม.)"
"Margin Left (mm)","ขอบซ้าย (มม.)"
"Margin Right (mm)","มาร์จิ้นขวา (มม.)"
"Margin Top (mm)","Margin Top (มม.)"
"Max","แม็กซ์"
"Min","นาที"
"Min Length","ความยาวขั้นต่ำ"
"Min height (px)","ความสูงต่ำสุด (px)"
"Mission","ภารกิจ"
"Naming Series","ซีรีส์การตั้งชื่อ"
"Nested Columns (JSON)","คอลัมน์ที่ซ้อนกัน (JSON)"
"Nested Field","ฟิลด์ซ้อน"
"Nested Table Field","ฟิลด์ตารางที่ซ้อนกัน"
"Nested Table Field Doctype","แพทย์ประจำสนามตารางที่ซ้อนกัน"
"No Copy","ไม่คัดลอก"
"No Print","ไม่มีการพิมพ์"
"No Translate","ไม่มีการแปล"
"Only Create","สร้างเท่านั้น"
"Only Fixtures","เฉพาะการแข่งขัน"
"Only Once","เพียงครั้งเดียว"
"Options","ตัวเลือก"
"Order","ลำดับ"
"Organization","องค์กร"
"Organization Additional Menu","เมนูเพิ่มเติมขององค์กร"
"Organization Name","ชื่อองค์กร"
"Padding","การขยายความ"
"Page","หน้า"
"Page Format","รูปแบบหน้า"
"Parent Doctype","แพทย์ผู้ปกครอง"
"Parent Field Name","ชื่อฟิลด์หลัก"
"Permission Level","ระดับสิทธิ์"
"Phone","โทรศัพท์"
"Plain","ธรรมดา"
"Precision","ความแม่นยำ"
"Primary Chip Sub Value Field","ฟิลด์ค่าย่อยของชิปหลัก"
"Primary Chip Value Field","ฟิลด์ค่าชิปหลัก"
"Primary Date Doctype","แพทย์ประจำวันที่ปฐมภูมิ"
"Primary Date Field","ฟิลด์วันที่หลัก"
"Print Setting", "การตั้งค่าการพิมพ์"
"Print Template","เทมเพลตการพิมพ์"
"Print Template Item","พิมพ์รายการเทมเพลต"
"Print Template Items","พิมพ์รายการเทมเพลต"
"Public (For File Field)","สาธารณะ (สำหรับฟิลด์ไฟล์)"
"Read Only","อ่านอย่างเดียว"
"Reference","การอ้างอิง"
"Reference Doctype","ประเภทเอกสารอ้างอิง"
"Reference Field","ฟิลด์อ้างอิง"
"Reference ID Filter","ตัวกรอง ID อ้างอิง"
"Registration & Email","การลงทะเบียนและอีเมล"
"Repeat on every page","ทำซ้ำในทุกหน้า"
"Report","รายงาน"
"Report Item","รายการรายงาน"
"Report Items","รายงานรายการ"
"Requester","ผู้ขอเดินทาง"
"Required","จำเป็น"
"Result","ผล"
"Role Profile","โปรไฟล์บทบาท"
"Role Profile Role","บทบาทโปรไฟล์บทบาท"
"Roles","บทบาท"
"SMTP Host","โฮสต์ SMTP"
"SMTP Password","SMTP รหัสผ่าน"
"SMTP Port","SMTP พอร์ต"
"SMTP User","ผู้ใช้ SMTP"
"Script","สคริปต์"
"Search Fields","ค้นหาช่อง"
"Secondary Chip Sub Value Field","ฟิลด์ค่าย่อยของชิปทุติยภูมิ"
"Secondary Chip Value Field","ฟิลด์ค่าชิปทุติยภูมิ"
"Secondary Date Doctype","แพทย์ประจำวันที่ทุติยภูมิ"
"Secondary Date Field","ฟิลด์วันที่รอง"
"Session","เซสชัน"
"Show Document QR Code","แสดงคิวอาร์โค้ดของเอกสาร"
"Show in List View","แสดงในรายการ"
"Show in Tree View","แสดงในมุมมองทรี"
"Signature","ลายมือชื่อ"
"Sort","เรียง"
"Sortable","เรียงลำดับได้"
"System","ระบบ"
"Users","ผู้ใช้"
"Print","การพิมพ์"
"Started At","เริ่มต้นเมื่อ"
"Support Hours","เวลาทำการสนับสนุน"
"Symbol","สัญลักษณ์"
"Table Config (JSON)","การกำหนดค่าตาราง (JSON)"
"Tabs","แท็บ"
"Tagline","สโลแกน"
"Tax ID","เลขประจำตัวผู้เสียภาษี"
"Text","ข้อความ"
"Text Decoration","การตกแต่งข้อความ"
"Text align","จัดข้อความ"
"Title","คำนำหน้าชื่อ"
"Track Changes","ติดตามการเปลี่ยนแปลง"
"Twitter / X URL","ลิงก์ Twitter / X"
"Type","ประเภท"
"URL","ยูอาร์แอล"
"Unique","เป็นเอกลักษณ์"
"Use TLS/SSL","ใช้ TLS/SSL"
"User Agent","ตัวแทนผู้ใช้"
"User Role","บทบาทของผู้ใช้งาน"
"Version","เวอร์ชัน"
"Vertical align","จัดแนวตั้ง"
"Vision","การมองเห็น"
"Website","เว็บไซต์"
"Website Name","ชื่อเว็บไซต์"
"Width","ความกว้างกระดาษ"
"Workspace","เวิร์คสเปซ"
"Workspace Parent","เวิร์กสเปซหลัก"
"Workspace Role","บทบาทในเวิร์คสเปซ"
"Workspace Roles","บทบาทในเวิร์คสเปซ"
"X","X"
"Y","Y"
"YouTube URL","ลิงก์ YouTube"
"Excluded", "ไม่รวม"
"Included", "รวม"
"Scan QR / Barcode","สแกน QR / บาร์โค้ด"
"Backup","สำรองข้อมูล"
"New", "ใหม่"
